INFO 2025-08-09 01:38:47,189 autoreload 8908 9588 Watching for file changes with StatReloader
INFO 2025-08-09 15:21:12,495 autoreload 1008 9660 Watching for file changes with StatReloader
INFO 2025-08-09 16:47:39,843 basehttp 1008 10144 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-08-09 16:47:39,863 middleware 1008 10144 Request: POST /api/auth/login/ from 127.0.0.1
ERROR 2025-08-09 16:47:44,158 utils 1008 10144 Error recording login for user None: 'AnonymousUser' object has no attribute 'email'
ERROR 2025-08-09 16:47:44,159 utils 1008 10144 Error generating tokens for user None: Cannot assign "<django.contrib.auth.models.AnonymousUser object at 0x0000015C47CEE3C0>": "OutstandingToken.user" must be a "User" instance.
ERROR 2025-08-09 16:47:44,160 views 1008 10144 Error recording login activity: Cannot assign "<django.contrib.auth.models.AnonymousUser object at 0x0000015C47CEE3C0>": "OutstandingToken.user" must be a "User" instance.
INFO 2025-08-09 16:47:44,162 middleware 1008 10144 Response: 200 in 4.299s
INFO 2025-08-09 16:47:44,164 basehttp 1008 10144 "POST /api/auth/login/ HTTP/1.1" 200 524
INFO 2025-08-09 16:47:44,204 basehttp 1008 10144 "OPTIONS /api/management/businesses/?page=1&limit=3 HTTP/1.1" 200 0
INFO 2025-08-09 16:47:44,215 middleware 1008 10144 Request: GET /api/management/businesses/ from 127.0.0.1
INFO 2025-08-09 16:47:44,315 middleware 1008 10144 Response: 200 in 0.100s
INFO 2025-08-09 16:47:44,320 basehttp 1008 10144 "GET /api/management/businesses/?page=1&limit=3 HTTP/1.1" 200 142
INFO 2025-08-09 16:47:44,331 middleware 1008 10144 Request: GET /api/management/businesses/ from 127.0.0.1
INFO 2025-08-09 16:47:44,383 middleware 1008 10144 Response: 200 in 0.052s
INFO 2025-08-09 16:47:44,391 basehttp 1008 10144 "GET /api/management/businesses/?page=1&limit=3 HTTP/1.1" 200 142
INFO 2025-08-09 16:47:47,720 basehttp 1008 5100 "OPTIONS /api/management/customer/business/32/ HTTP/1.1" 200 0
INFO 2025-08-09 16:47:47,720 basehttp 1008 10144 "OPTIONS /api/management/customer/business/32/ HTTP/1.1" 200 0
INFO 2025-08-09 16:47:47,725 middleware 1008 10144 Request: GET /api/management/customer/business/32/ from 127.0.0.1
INFO 2025-08-09 16:47:47,751 middleware 1008 10144 Response: 200 in 0.027s
INFO 2025-08-09 16:47:47,754 basehttp 1008 10144 "GET /api/management/customer/business/32/ HTTP/1.1" 200 108
INFO 2025-08-09 16:47:47,757 middleware 1008 10144 Request: GET /api/management/customer/business/32/ from 127.0.0.1
INFO 2025-08-09 16:47:47,774 middleware 1008 10144 Response: 200 in 0.017s
INFO 2025-08-09 16:47:47,777 basehttp 1008 10144 "GET /api/management/customer/business/32/ HTTP/1.1" 200 108
INFO 2025-08-09 16:47:47,793 basehttp 1008 10144 "OPTIONS /api/management/businesses/ HTTP/1.1" 200 0
INFO 2025-08-09 16:47:47,802 basehttp 1008 5100 "OPTIONS /api/management/product-categories/?business=32 HTTP/1.1" 200 0
INFO 2025-08-09 16:47:47,803 basehttp 1008 10144 "OPTIONS /api/management/businesses/ HTTP/1.1" 200 0
INFO 2025-08-09 16:47:47,810 basehttp 1008 5100 "OPTIONS /api/management/product-templates/?business=32 HTTP/1.1" 200 0
INFO 2025-08-09 16:47:47,813 middleware 1008 5100 Request: GET /api/management/businesses/ from 127.0.0.1
INFO 2025-08-09 16:47:47,814 basehttp 1008 10144 "OPTIONS /api/management/products/?business=32 HTTP/1.1" 200 0
INFO 2025-08-09 16:47:47,822 middleware 1008 10144 Request: GET /api/management/product-categories/ from 127.0.0.1
INFO 2025-08-09 16:47:47,858 middleware 1008 5100 Response: 200 in 0.045s
INFO 2025-08-09 16:47:47,860 middleware 1008 10144 Response: 200 in 0.039s
INFO 2025-08-09 16:47:47,862 basehttp 1008 5100 "GET /api/management/businesses/ HTTP/1.1" 200 142
INFO 2025-08-09 16:47:47,863 basehttp 1008 10144 "GET /api/management/product-categories/?business=32 HTTP/1.1" 200 2
INFO 2025-08-09 16:47:47,869 middleware 1008 5100 Request: GET /api/management/product-templates/ from 127.0.0.1
INFO 2025-08-09 16:47:47,871 middleware 1008 10144 Request: GET /api/management/products/ from 127.0.0.1
INFO 2025-08-09 16:47:47,964 middleware 1008 5100 Response: 200 in 0.095s
INFO 2025-08-09 16:47:47,969 basehttp 1008 5100 "GET /api/management/product-templates/?business=32 HTTP/1.1" 200 522
INFO 2025-08-09 16:47:47,974 middleware 1008 5100 Request: GET /api/management/businesses/ from 127.0.0.1
INFO 2025-08-09 16:47:47,998 middleware 1008 10144 Response: 200 in 0.127s
INFO 2025-08-09 16:47:48,007 basehttp 1008 10144 "GET /api/management/products/?business=32 HTTP/1.1" 200 1293
INFO 2025-08-09 16:47:48,015 basehttp 1008 10144 "OPTIONS /api/management/customer/orders/ HTTP/1.1" 200 0
INFO 2025-08-09 16:47:48,019 middleware 1008 5100 Response: 200 in 0.044s
INFO 2025-08-09 16:47:48,022 middleware 1008 10144 Request: GET /api/management/customer/orders/ from 127.0.0.1
INFO 2025-08-09 16:47:48,023 basehttp 1008 5100 "GET /api/management/businesses/ HTTP/1.1" 200 142
INFO 2025-08-09 16:47:48,079 middleware 1008 10144 Response: 200 in 0.057s
INFO 2025-08-09 16:47:48,081 basehttp 1008 10144 "GET /api/management/customer/orders/ HTTP/1.1" 200 1237
INFO 2025-08-09 16:47:48,086 middleware 1008 10144 Request: GET /api/management/customer/orders/ from 127.0.0.1
INFO 2025-08-09 16:47:48,094 basehttp 1008 5100 "OPTIONS /api/management/invoices/ HTTP/1.1" 200 0
INFO 2025-08-09 16:47:48,096 middleware 1008 5100 Request: GET /api/management/invoices/ from 127.0.0.1
INFO 2025-08-09 16:47:48,161 middleware 1008 10144 Response: 200 in 0.074s
INFO 2025-08-09 16:47:48,162 basehttp 1008 10144 "GET /api/management/customer/orders/ HTTP/1.1" 200 1237
INFO 2025-08-09 16:47:48,176 middleware 1008 5100 Response: 200 in 0.080s
